Company_ID,Company_Name,Company_Industry,Company_Size,Company_Ownership,Company_Funding,Country,Interest_Area
CMP_U,Uber,Technology,Small business,Franchise,IPO,USA,Data
CMP_W,Walmart,Technology,Start-up,Franchise,Seed,USA,Cloud
CMP_FMC,Ford Motor Co,Finance,Medium Enterprise,Private Sector,Seed,USA,Marketing
CMP_A,Amazon,Technology,Start-up,Joint Venture,IPO,USA,Data
CMP_M,Microsoft,Healthcare,Medium Enterprise,Franchise,Series A,USA,Marketing
CMP_T,Target,Healthcare,Large Enterprise,Public Sector,IPO,USA,Cloud
CMP_UE,Uber Eats,Technology,Small business,Joint Venture,Series B,USA,Data
CMP_CH,CVS Health,Retail,Medium Enterprise,Private Sector,Bootstrapped,USA,Data
CMP_TBG,TD Bank Group,Finance,Small business,Joint Venture,IPO,Canada,Cloud
CMP_S,Shopify,Retail,Large Enterprise,Franchise,Bootstrapped,Canada,Data
CMP_SE,Suncor Energy,Technology,Large Enterprise,Joint Venture,Bootstrapped,Canada,Marketing
CMP_KP,Kaiser Permanente,Healthcare,Start-up,Franchise,IPO,USA,Marketing
CMP_WF,Wells Fargo,Healthcare,Start-up,Joint Venture,Seed,USA,Marketing
CMP_CT,Canadian Tire,Technology,Start-up,Private Sector,Bootstrapped,Canada,Data
CMP_AT,American Tower,Retail,Medium Enterprise,Public Sector,Bootstrapped,USA,Marketing
CMP_TH,Tim Hortons,Technology,Medium Enterprise,Private Sector,Series A,Canada,Data
CMP_L,Lowe's,Technology,Large Enterprise,Public Sector,Bootstrapped,USA,Cloud
CMP_P,PicnicHealth,Finance,Small business,Private Sector,Seed,USA,Marketing
CMP_CSI(O,Credit Saison India (USA operations),Healthcare,Start-up,Private Sector,Seed,USA,Marketing
CMP_LG,Lufthansa Group,Automotive,Start-up,Private Sector,Seed,Germany,Consulting
CMP_AD,Allianz Direct,Banking,Large Enterprise,Public Sector,IPO,Germany,Engineering
CMP_H,HSBC,Banking,Small business,Franchise,Seed,UK,Engineering
CMP_SG,Sage Group,Automotive,Small business,Joint Venture,Seed,UK,Operations
CMP_PH,Philips Healthcare,Consulting,Large Enterprise,Private Sector,Seed,Netherlands,Operations
CMP_V,Vodafone,Automotive,Start-up,Joint Venture,Series B,UK,Consulting
CMP_N,Nestlé,Pharmaceuticals,Start-up,Franchise,IPO,Switzerland,Consulting
CMP_IG,ING Group,Consulting,Medium Enterprise,Public Sector,Bootstrapped,Netherlands,Consulting
CMP_VG,Volvo Group,Automotive,Medium Enterprise,Private Sector,Series B,Sweden,Engineering
CMP_C,Carrefour,Pharmaceuticals,Large Enterprise,Private Sector,IPO,France,Engineering
CMP_ZG,ZF Group,Banking,Small business,Franchise,Series A,Germany,Operations
CMP_DB,DBS Bank,Technology,Small business,Franchise,Series B,Singapore,AI
CMP_K,Kiwibank,Technology,Start-up,Joint Venture,IPO,New Zealand,T&M
CMP_RR,Reliance Retail,E-Commerce,Medium Enterprise,Public Sector,IPO,India,T&M
CMP_TCS,Tata Consultancy Services,E-Commerce,Start-up,Joint Venture,Series A,India,T&M
CMP_T/G,Tokopedia / GoTo,Manufacturing,Start-up,Joint Venture,IPO,Indonesia,Staffing
CMP_I,infosys,Technology,Small business,Franchise,Series A,India,Staffing
CMP_G,Grab,E-Commerce,Medium Enterprise,Public Sector,Series B,Singapore,T&M
CMP_J,JioMart,Technology,Start-up,Public Sector,IPO,India,T&M
CMP_SA,Saudi Aramco,Banking,Medium Enterprise,Franchise,Series A,Saudi Arabia,Data
CMP_Q,QatarEnergy,Banking,Small business,Public Sector,Series A,Qatar,Consulting
CMP_AM,América Móvil,Energy,Start-up,Franchise,Seed,Mexico,Logistics
CMP_E,Ecopetrol,Agriculture,Small business,Franchise,Bootstrapped,Colombia,Logistics
CMP_LA,Latam Airlines,Energy,Start-up,Joint Venture,Seed,Chile,Operations
CMP_IU,Itau Unibanco,Manufacturing,Start-up,Joint Venture,Series B,Brazil,Logistics
CMP_B,Bancolombia,Agriculture,Medium Enterprise,Franchise,Series B,Colombia,Logistics
CMP_GM,Grupo Mexico,Agriculture,Large Enterprise,Joint Venture,Seed,Mexico,Operations
CMP_MG,MTN Group,Telecommunications,Small business,Joint Venture,Series B,S. Africa,Service
CMP_SBG,Standard Bank Group,Telecommunications,Medium Enterprise,Private Sector,IPO,S. Africa,Staffing
CMP_KG,KCB Group,Finance,Large Enterprise,Franchise,Series B,Kenya,Staffing
CMP_AB,Attijariwafa Bank,Finance,Large Enterprise,Private Sector,Bootstrapped,Morocco,Service
CMP_F,FirstRand,Mining,Start-up,Public Sector,Series A,S. Africa,Staffing
CMP_AG,Absa Group,Telecommunications,Large Enterprise,Public Sector,Series A,S. Africa,Service
CMP_NG,Nedbank Group,Finance,Start-up,Public Sector,IPO,S. Africa,Staffing
CMP_EGH,Equity Group Holdings,Telecommunications,Medium Enterprise,Private Sector,Bootstrapped,Kenya,Service
CMP_HT,HCL Technologies,Manufacturing,Start-up,Joint Venture,Bootstrapped,India,AI
CMP_TM,Tech Mahindra,Manufacturing,Medium Enterprise,Public Sector,Bootstrapped,India,Staffing
CMP_L&TI,Larsen & Toubro Infotech,E-Commerce,Medium Enterprise,Private Sector,IPO,India,T&M
CMP_LTS,L&T Technology Services,Finance,Small business,Joint Venture,IPO,India,Staffing
CMP_PS,Persistent Systems,Manufacturing,Small business,Private Sector,Seed,India,AI
CMP_ZT,Zensar Technologies,Finance,Medium Enterprise,Public Sector,Seed,India,T&M
CMP_FS,Firstsource Solutions,Technology,Medium Enterprise,Franchise,IPO,India,Staffing
CMP_EH,ExlService Holdings,Manufacturing,Small business,Public Sector,IPO,India,AI
CMP_GPI,Genus Power Infrastructures,Manufacturing,Start-up,Joint Venture,Series A,India,T&M
CMP_M&M,Mahindra & Mahindra,Manufacturing,Start-up,Public Sector,Series A,India,Staffing
CMP_MSI,Maruti Suzuki India,E-Commerce,Large Enterprise,Franchise,Series B,India,AI
CMP_HMI,Hyundai Motor India,Technology,Start-up,Franchise,Series A,India,AI
CMP_KI,Kia India,Technology,Large Enterprise,Public Sector,Seed,India,T&M
CMP_TKM,Toyota Kirloskar Motor,Finance,Large Enterprise,Franchise,Bootstrapped,India,AI
