Deal_ID,Lead_ID,Company_ID,Amount_Display,Amount_Numeric,Status,Created_Date,Closed_Date,Rep_ID,Total_Duration_Days
DEAL_0001,LDUBR-NA-001,CMP_U,1.75 Crore,17525000,Ongoing - Cold,2024-05-21,,BJ_NA,467
DEAL_0002,LDWMT-NA-002,CMP_W,1.22 Crore,12180000,Deal Won,2025-07-15,2025-08-24,AS_NA,40
DEAL_0003,LDFRD-NA-003,CMP_FMC,78.34 Lakhs,7834000,Deal Lost,2024-09-06,2024-10-16,AS_NA,40
DEAL_0004,LDAMZ-NA-004,CMP_A,93.48 Lakhs,9348000,Ongoing - Cold,2025-06-13,,CL_NA,79
DEAL_0005,LDMST-NA-005,CMP_M,58.82 Lakhs,5882000,Deal Lost,2024-06-03,2024-07-13,CL_NA,40
DEAL_0006,LDTGT-NA-006,CMP_T,36.51 Lakhs,3651000,Deal Lost,2025-06-12,2025-07-22,BJ_NA,40
DEAL_0007,LDUBE-NA-007,CMP_UE,92.52 Lakhs,9252000,Deal Won,2024-07-08,2024-08-28,BJ_NA,51
DEAL_0008,LDCVS-NA-008,CMP_CH,60.36 Lakhs,6036000,Deal Lost,2024-10-24,2024-12-03,DK_NA,40
DEAL_0009,LDMCK-NA-009,CMP_M,24.41 Lakhs,2441000,Ongoing - Cold,2024-06-22,,CL_NA,435
DEAL_0010,LDTDB-NA-010,CMP_TBG,62.99 Lakhs,6299000,Ongoing - Cold,2024-01-11,,BJ_NA,598
DEAL_0011,LDSHF-NA-011,CMP_S,24.47 Lakhs,2447000,Deal Lost,2024-04-16,2024-06-03,BJ_NA,48
DEAL_0012,LDSCR-NA-012,CMP_SE,36.26 Lakhs,3626000,Deal Lost,2024-03-21,2024-05-08,CL_NA,48
DEAL_0013,LDKPR-NA-013,CMP_KP,23.89 Lakhs,2389000,Deal Lost,2025-01-27,2025-03-08,CL_NA,40
DEAL_0014,LDWLF-NA-014,CMP_WF,67.62 Lakhs,6762000,Deal Lost,2025-04-11,2025-06-10,DK_NA,59
DEAL_0015,LDCTC-NA-015,CMP_CT,39.06 Lakhs,3906000,Deal Won,2023-11-05,2023-12-15,AS_NA,40
DEAL_0016,LDAMT-NA-016,CMP_AT,40.00 Lakhs,4000000,Deal Won,2024-12-03,2025-01-20,CL_NA,47
DEAL_0017,LDTHC-NA-017,CMP_TH,3.17 Crore,31705000,Deal Lost,2024-10-26,2024-12-05,DK_NA,40
DEAL_0018,LDLWS-NA-018,CMP_L,3.62 Crore,36197000,Deal Lost,2025-02-06,2025-03-18,BJ_NA,40
DEAL_0019,LDPCH-NA-019,CMP_P,74.78 Lakhs,7478000,Ongoing - Cold,2024-03-16,,AS_NA,533
DEAL_0020,LDCSI-NA-020,CMP_CSI(O,1.01 Crore,10114000,Ongoing - Cold,2025-02-27,,CL_NA,185
DEAL_0021,LDTSCO-EU-021,CMP_T,4.30 Crore,42979000,Deal Won,2025-03-18,2025-04-27,EB_EU,40
DEAL_0022,LDLFT-EU-022,CMP_LG,83.14 Lakhs,8314000,Deal Lost,2025-07-27,2025-09-20,HB_EU,54
DEAL_0023,LDALZ-EU-023,CMP_AD,1.65 Crore,16485000,Deal Won,2024-01-03,2024-02-12,FG_EU,40
DEAL_0024,LDHSBC-EU-024,CMP_H,99.88 Lakhs,9988000,Deal Won,2024-10-31,2024-12-10,HB_EU,40
DEAL_0025,LDSGE-EU-025,CMP_SG,1.29 Crore,12866000,Ongoing - Cold,2024-02-14,,GW_EU,565
DEAL_0026,LDSNE-EU-026,CMP_SE,4.60 Crore,46030000,Ongoing - Cold,2025-06-02,,GW_EU,91
DEAL_0027,LDPHL-EU-027,CMP_PH,27.63 Lakhs,2763000,Deal Lost,2023-10-04,2023-11-13,GW_EU,40
DEAL_0028,LDVDF-EU-028,CMP_V,41.14 Lakhs,4114000,Deal Lost,2024-05-12,2024-07-12,FG_EU,60
DEAL_0029,LDSMN-EU-029,CMP_S,48.12 Lakhs,4812000,Ongoing - Cold,2025-05-04,,HB_EU,119
DEAL_0030,LDNST-EU-030,CMP_N,58.53 Lakhs,5853000,Deal Lost,2025-01-06,2025-02-15,FG_EU,40
DEAL_0031,LDING-EU-031,CMP_IG,20.93 Lakhs,2093000,Deal Won,2024-11-24,2025-01-21,FG_EU,58
DEAL_0032,LDABB-EU-032,CMP_A,2.83 Crore,28331000,Deal Lost,2023-09-17,2023-10-27,EB_EU,40
DEAL_0033,LDVLV-EU-033,CMP_VG,20.87 Lakhs,2087000,Deal Lost,2025-08-10,2025-09-19,FG_EU,40
DEAL_0034,LDCFR-EU-034,CMP_C,4.67 Crore,46728000,Deal Lost,2024-11-22,2025-01-01,FG_EU,40
DEAL_0035,LDZFG-EU-035,CMP_ZG,2.48 Crore,24760000,Deal Won,2025-04-26,2025-06-05,GW_EU,40
DEAL_0036,LDTRG-EU-036,CMP_T,38.68 Lakhs,3868000,Deal Lost,2024-09-30,2024-11-09,GW_EU,40
DEAL_0037,LDDBS-APAC-037,CMP_DB,24.24 Lakhs,2424000,Deal Lost,2023-12-30,2024-02-08,JL_APAC,40
DEAL_0038,LDKWB-APAC-038,CMP_K,2.56 Crore,25570000,Deal Won,2025-07-11,2025-08-30,LS_APAC,49
DEAL_0039,LDRLR-APAC-039,CMP_RR,69.63 Lakhs,6963000,Ongoing - Cold,2023-09-10,,MT_APAC,721
DEAL_0040,LDTCS-APAC-040,CMP_TCS,76.33 Lakhs,7633000,Deal Lost,2024-01-01,2024-02-18,LS_APAC,47
DEAL_0041,LDSFB-APAC-041,CMP_S,32.29 Lakhs,3229000,Ongoing - Active,2024-10-11,,LS_APAC,325
DEAL_0042,LDTKP-APAC-042,CMP_T/G,4.99 Crore,49923000,Deal Lost,2024-09-02,2024-10-12,IG_APAC,40
DEAL_0043,LDTSL-APAC-043,CMP_T,4.31 Crore,43100000,Ongoing - Cold,2024-09-07,,LS_APAC,358
DEAL_0044,LDWSP-APAC-044,CMP_W,30.87 Lakhs,3087000,Deal Lost,2024-01-15,2024-02-24,IG_APAC,40
DEAL_0045,LDINF-APAC-045,CMP_I,98.07 Lakhs,9807000,Deal Lost,2024-01-28,2024-03-08,JL_APAC,40
DEAL_0046,LDGRB-APAC-046,CMP_G,21.86 Lakhs,2186000,Ongoing - Cold,2025-02-21,,KM_APAC,191
DEAL_0047,LDJMR-APAC-047,CMP_J,56.63 Lakhs,5663000,Ongoing - Cold,2025-01-13,,JL_APAC,231
DEAL_0048,LDTYT-APAC-048,CMP_T,61.41 Lakhs,6141000,Deal Lost,2024-06-01,2024-07-11,JL_APAC,40
DEAL_0049,LDSNY-APAC-049,CMP_S,4.76 Crore,47554000,Deal Lost,2025-07-02,2025-08-24,KM_APAC,53
DEAL_0050,LDSMS-APAC-050,CMP_S,29.84 Lakhs,2984000,Ongoing - Cold,2023-11-01,,IG_APAC,669
DEAL_0051,LDSAR-ME-051,CMP_SA,71.14 Lakhs,7114000,Ongoing - Cold,2024-10-24,,NA_ME,311
DEAL_0052,LDADC-ME-052,CMP_A,4.37 Crore,43734000,Deal Lost,2023-12-28,2024-02-06,NA_ME,40
DEAL_0053,LDQTE-ME-053,CMP_Q,42.98 Lakhs,4298000,Deal Lost,2024-07-25,2024-09-03,NA_ME,40
DEAL_0054,LDINV-ME-054,CMP_I,31.42 Lakhs,3142000,Ongoing - Cold,2024-10-15,,NA_ME,320
DEAL_0055,LDPBR-LA-055,CMP_P,3.21 Crore,32116000,Deal Won,2024-08-13,2024-09-23,RA_LA,41
DEAL_0056,LDAMX-LA-056,CMP_AM,4.56 Crore,45596000,Ongoing - Active,2024-02-22,,QH_LA,556
DEAL_0057,LDMCL-LA-057,CMP_M,86.41 Lakhs,8641000,Deal Lost,2025-06-08,2025-07-18,QH_LA,40
DEAL_0058,LDCDL-LA-058,CMP_C,3.07 Crore,30675000,Deal Lost,2025-05-08,2025-06-28,QH_LA,51
DEAL_0059,LDECP-LA-059,CMP_E,57.71 Lakhs,5771000,Deal Lost,2024-09-20,2024-10-30,QH_LA,40
DEAL_0060,LDLTM-LA-060,CMP_LA,3.64 Crore,36397000,Deal Lost,2025-01-09,2025-03-03,PY_LA,53
DEAL_0061,LDNTR-LA-061,CMP_N,1.35 Crore,13471000,Deal Won,2024-02-06,2024-03-22,QH_LA,44
DEAL_0062,LDITU-LA-062,CMP_IU,3.42 Crore,34160000,Deal Lost,2024-10-21,2024-12-01,RA_LA,40
DEAL_0063,LDBCL-LA-063,CMP_B,29.65 Lakhs,2965000,Deal Lost,2024-11-28,2025-01-12,RA_LA,45
DEAL_0064,LDGPM-LA-064,CMP_GM,64.74 Lakhs,6474000,Deal Lost,2024-04-21,2024-05-31,PY_LA,40
DEAL_0065,LDMTN-AF-065,CMP_MG,44.95 Lakhs,4495000,Deal Lost,2025-02-15,2025-03-27,SW_AF,40
DEAL_0066,LDSAL-AF-066,CMP_S,55.00 Lakhs,5500000,Deal Lost,2024-07-26,2024-09-04,SW_AF,40
DEAL_0067,LDSBG-AF-067,CMP_SBG,4.31 Crore,43122000,Deal Won,2024-03-04,2024-04-20,TB_AF,47
DEAL_0068,LDVDC-AF-068,CMP_V,1.39 Crore,13878000,Ongoing - Cold,2025-06-14,,TB_AF,79
DEAL_0069,LDSFC-AF-069,CMP_S,4.69 Crore,46923000,Deal Lost,2024-01-31,2024-03-11,TB_AF,40
DEAL_0070,LDKCB-AF-070,CMP_KG,95.76 Lakhs,9576000,Deal Won,2025-08-15,2025-09-24,TB_AF,40
DEAL_0071,LDATJ-AF-071,CMP_AB,2.48 Crore,24757000,Deal Lost,2024-11-12,2025-01-01,TB_AF,49
DEAL_0072,LDFRD-AF-072,CMP_F,79.49 Lakhs,7949000,Deal Lost,2024-03-03,2024-04-28,SW_AF,55
DEAL_0073,LDABG-AF-073,CMP_AG,27.59 Lakhs,2759000,Ongoing - Active,2025-08-19,,TB_AF,13
DEAL_0074,LDNDB-AF-074,CMP_NG,26.37 Lakhs,2637000,Deal Lost,2024-12-08,2025-02-07,TB_AF,61
DEAL_0075,LDEGH-AF-075,CMP_EGH,41.07 Lakhs,4107000,Deal Won,2025-04-22,2025-06-01,SW_AF,40
DEAL_0076,LDTLK-AF-076,CMP_T,45.38 Lakhs,4538000,Deal Lost,2024-04-27,2024-06-06,SW_AF,40
DEAL_0077,LDINF-APAC-077,CMP_I,4.65 Crore,46515000,Deal Won,2025-02-16,2025-03-28,LS_APAC,40
DEAL_0078,LDWIP-APAC-078,CMP_W,72.83 Lakhs,7283000,Ongoing - Cold,2024-03-03,,KM_APAC,547
DEAL_0079,LDHCL-APAC-079,CMP_HT,61.83 Lakhs,6183000,Deal Lost,2024-11-29,2025-01-09,LS_APAC,40
DEAL_0080,LDTMH-APAC-080,CMP_TM,70.37 Lakhs,7037000,Deal Lost,2025-06-22,2025-08-01,MT_APAC,40
DEAL_0081,LDLTI-APAC-081,CMP_L&TI,4.74 Crore,47370000,Ongoing - Cold,2024-04-13,,JL_APAC,506
DEAL_0082,LDMNT-APAC-082,CMP_M,44.15 Lakhs,4415000,Deal Lost,2024-03-25,2024-05-04,JL_APAC,40
DEAL_0083,LDMPH-APAC-083,CMP_M,37.24 Lakhs,3724000,Deal Lost,2025-04-11,2025-05-21,KM_APAC,40
DEAL_0084,LDLTTS-APAC-084,CMP_LTS,51.49 Lakhs,5149000,Ongoing - Cold,2025-01-03,,IG_APAC,241
DEAL_0085,LDPST-APAC-085,CMP_PS,61.04 Lakhs,6104000,Ongoing - Cold,2024-06-29,,LS_APAC,429
DEAL_0086,LDCFG-APAC-086,CMP_C,36.63 Lakhs,3663000,Deal Won,2025-03-05,2025-04-14,LS_APAC,40
DEAL_0087,LDZNR-APAC-087,CMP_ZT,31.75 Lakhs,3175000,Deal Lost,2024-01-24,2024-03-04,IG_APAC,40
DEAL_0088,LDFRS-APAC-088,CMP_FS,52.61 Lakhs,5261000,Deal Lost,2025-01-26,2025-03-28,KM_APAC,60
DEAL_0089,LDEXL-APAC-089,CMP_EH,81.81 Lakhs,8181000,Deal Lost,2023-09-16,2023-10-29,IG_APAC,43
DEAL_0090,LDGPI-APAC-090,CMP_GPI,3.68 Crore,36842000,Deal Won,2025-02-10,2025-03-22,IG_APAC,40
DEAL_0091,LDCYI-APAC-091,CMP_C,1.75 Crore,17486000,Ongoing - Cold,2025-03-14,,JL_APAC,170
DEAL_0092,LDTMO-APAC-092,CMP_TM,2.46 Crore,24550000,Deal Lost,2023-10-04,2023-11-13,JL_APAC,40
DEAL_0093,LDMAM-APAC-093,CMP_M&M,79.59 Lakhs,7959000,Ongoing - Cold,2023-12-21,,MT_APAC,620
DEAL_0094,LDMSI-APAC-094,CMP_MSI,38.53 Lakhs,3853000,Deal Lost,2025-06-18,2025-07-28,MT_APAC,40
DEAL_0095,LDHMI-APAC-095,CMP_HMI,2.11 Crore,21144000,Deal Lost,2024-08-24,2024-10-03,MT_APAC,40
DEAL_0096,LDKIA-APAC-096,CMP_KI,55.03 Lakhs,5503000,Deal Won,2025-08-06,2025-09-28,LS_APAC,52
DEAL_0097,LDTKM-APAC-097,CMP_TKM,48.71 Lakhs,4871000,Deal Lost,2024-05-25,2024-07-04,MT_APAC,40
DEAL_0098,LDHCI-APAC-098,CMP_HCI,32.81 Lakhs,3281000,Ongoing - Cold,2025-07-16,,KM_APAC,46
DEAL_0099,LDRNI-099,CMP_RI,71.37 Lakhs,7137000,Deal Lost,2025-01-24,2025-03-05,MT_APAC,40
DEAL_0100,LDNMI-APAC-100,CMP_NMI,65.05 Lakhs,6505000,Deal Lost,2025-06-11,2025-07-21,MT_APAC,40
DEAL_0101,LDAPL-NA-101,CMP_A,35.95 Lakhs,3595000,Deal Won,2024-04-07,2024-05-18,DK_NA,41
DEAL_0102,LDGOO-NA-102,CMP_G,3.02 Crore,30199000,Deal Lost,2024-11-07,2025-01-08,DK_NA,61
DEAL_0103,LDFAB-NA-103,CMP_F,25.64 Lakhs,2564000,Deal Won,2024-06-09,2024-07-19,BJ_NA,40
DEAL_0104,LDNFL-NA-104,CMP_N,47.17 Lakhs,4717000,Deal Lost,2025-08-02,2025-09-11,CL_NA,40
DEAL_0105,LDSFC-NA-105,CMP_S,20.94 Lakhs,2094000,Deal Lost,2024-10-18,2024-11-27,BJ_NA,40
DEAL_0106,LDTES-NA-106,CMP_T,52.30 Lakhs,5230000,Ongoing - Cold,2024-06-05,,DK_NA,452
DEAL_0107,LDIBM-NA-107,CMP_I,46.24 Lakhs,4624000,Ongoing - Cold,2024-05-31,,BJ_NA,457
DEAL_0108,LDINT-NA-108,CMP_I,4.77 Crore,47660000,Deal Lost,2024-04-09,2024-05-19,CL_NA,40
DEAL_0109,LDGLOB-AF-0109,CMP_G_0109,37.79 Lakhs,3779000,Ongoing - Cold,2024-03-09,,TB_AF,540
DEAL_0110,LDADVA-LA-0110,CMP_A_0110,65.80 Lakhs,6580000,Deal Lost,2025-07-14,2025-09-08,RA_LA,55
DEAL_0111,LDDYNA-EU-0111,CMP_D_0111,48.87 Lakhs,4887000,Deal Won,2024-10-11,2024-11-20,FG_EU,40
DEAL_0112,LDCREA-NA-0112,CMP_C_0112,26.40 Lakhs,2640000,Ongoing - Cold,2024-09-24,,BJ_NA,341
DEAL_0113,LDSTRA-EU-0113,CMP_S_0113,56.06 Lakhs,5606000,Ongoing - Cold,2025-06-02,,EB_EU,90
DEAL_0114,LDSTRA-NA-0114,CMP_S_0114,4.88 Crore,48848000,Deal Won,2024-07-04,2024-08-13,BJ_NA,40
DEAL_0115,LDADVA-EU-0115,CMP_A_0115,4.83 Crore,48266000,Ongoing - Cold,2025-06-15,,FG_EU,77
DEAL_0116,LDFUTU-ME-0116,CMP_F_0116,2.97 Crore,29718000,Deal Won,2024-12-02,2025-01-30,NA_ME,58
DEAL_0117,LDADVA-APAC-0117,CMP_A_0117,3.64 Crore,36436000,Ongoing - Cold,2024-03-07,,IG_APAC,542
DEAL_0118,LDCREA-NA-0118,CMP_C_0118,30.10 Lakhs,3010000,Deal Won,2025-07-14,2025-08-23,CL_NA,40
DEAL_0119,LDINNO-LA-0119,CMP_I_0119,44.79 Lakhs,4479000,Deal Lost,2024-02-01,2024-03-12,QH_LA,40
DEAL_0120,LDCREA-AF-0120,CMP_C_0120,3.96 Crore,39584000,Ongoing - Cold,2025-05-09,,SW_AF,114
DEAL_0121,LDLEAD-NA-0121,CMP_L_0121,3.79 Crore,37911000,Deal Lost,2024-09-04,2024-10-14,CL_NA,40
DEAL_0122,LDDYNA-LA-0122,CMP_D_0122,41.78 Lakhs,4178000,Deal Lost,2025-05-19,2025-07-09,RA_LA,50
DEAL_0123,LDFUTU-AF-0123,CMP_F_0123,31.22 Lakhs,3122000,Ongoing - Cold,2025-05-16,,SW_AF,108
DEAL_0124,LDSTRA-LA-0124,CMP_S_0124,1.77 Crore,17749000,Deal Lost,2023-11-22,2024-01-01,RA_LA,40
DEAL_0125,LDGLOB-ME-0125,CMP_G_0125,50.78 Lakhs,5078000,Deal Lost,2024-03-02,2024-04-11,NA_ME,40
