History_ID,Lead_ID,Stage,Timestamp,Rep_ID,Stage_Sequence,Notes,Stage_Engagement (in Days)
285,LDABB-EU-032,Lead Captured,2023-09-17 01:36:36,EB_EU,1,Notes for stage Lead Captured for Lead LDABB-EU-032,0
286,LDABB-EU-032,Qualified,2023-09-21 01:36:36,EB_EU,2,Notes for stage Qualified for Lead LDABB-EU-032,4
287,LDABB-EU-032,Contacted,2023-09-26 01:36:36,EB_EU,3,Notes for stage Contacted for Lead LDABB-EU-032,5
288,LDABB-EU-032,Responded,2023-09-29 01:36:36,EB_EU,4,Notes for stage Responded for Lead LDABB-EU-032,3
289,LDABB-EU-032,Demo Scheduled,2023-10-03 01:36:36,EB_EU,5,Notes for stage Demo Scheduled for Lead LDABB-EU-032,4
290,LDABB-EU-032,Demo,2023-10-05 01:36:36,EB_EU,6,Notes for stage Demo for Lead LDABB-EU-032,2
291,LDABB-EU-032,Demo Completed,2023-10-09 01:36:36,EB_EU,7,Notes for stage Demo Completed for Lead LDABB-EU-032,4
292,LDABB-EU-032,Proposal Sent,2023-10-14 01:36:36,EB_EU,8,Notes for stage Proposal Sent for Lead LDABB-EU-032,5
293,LDABB-EU-032,Proposal,2023-10-20 01:36:36,EB_EU,9,Notes for stage Proposal for Lead LDABB-EU-032,6
294,LDABB-EU-032,Negotiation,2023-10-27 01:36:36,EB_EU,10,Notes for stage Negotiation for Lead LDABB-EU-032,7
295,LDABB-EU-032,Deal Lost,2023-10-27 01:36:44,EB_EU,11,Notes for stage Deal Lost for Lead LDABB-EU-032,0
686,LDABG-AF-073,Lead Captured,2025-08-19 05:05:34,TB_AF,1,Notes for stage Lead Captured for Lead LDABG-AF-073,0
687,LDABG-AF-073,Qualified,2025-10-05 03:44:54,TB_AF,2,Notes for stage Qualified for Lead LDABG-AF-073,47
469,LDADC-ME-052,Lead Captured,2023-12-28 22:18:27,NA_ME,1,Notes for stage Lead Captured for Lead LDADC-ME-052,0
470,LDADC-ME-052,Qualified,2024-01-01 22:18:27,NA_ME,2,Notes for stage Qualified for Lead LDADC-ME-052,4
471,LDADC-ME-052,Contacted,2024-01-06 22:18:27,NA_ME,3,Notes for stage Contacted for Lead LDADC-ME-052,5
472,LDADC-ME-052,Responded,2024-01-09 22:18:27,NA_ME,4,Notes for stage Responded for Lead LDADC-ME-052,3
473,LDADC-ME-052,Demo Scheduled,2024-01-13 22:18:27,NA_ME,5,Notes for stage Demo Scheduled for Lead LDADC-ME-052,4
474,LDADC-ME-052,Demo,2024-01-15 22:18:27,NA_ME,6,Notes for stage Demo for Lead LDADC-ME-052,2
475,LDADC-ME-052,Demo Completed,2024-01-19 22:18:27,NA_ME,7,Notes for stage Demo Completed for Lead LDADC-ME-052,4
476,LDADC-ME-052,Proposal Sent,2024-01-24 22:18:27,NA_ME,8,Notes for stage Proposal Sent for Lead LDADC-ME-052,5
